numbest,Title,BoxOffice,imdbRating,Metascore
0,A Beautiful Mind,"$170,742,341 ",8.2,72
1,Gosford Park,"$41,308,615 ",7.2,90
2,In the Bedroom,"$35,930,604 ",7.4,86
3,The Lord of the Rings: The Fellowship of the Ring,"$316,115,420 ",8.8,92
5,Chicago,"$170,687,518 ",7.2,81
6,Gangs of New York,"$77,812,000 ",7.5,72
7,The Hours,"$41,675,994 ",7.5,80
8,The Lord of the Rings: The Two Towers,"$342,952,511 ",8.7,87
9,The Pianist,"$32,572,577 ",8.6,85
10,The Lord of the Rings: The Return of the King,"$378,251,207 ",9,94
11,Lost in Translation,"$44,585,453 ",7.7,89
12,Master and Commander: The Far Side of the World,"$93,927,920 ",7.4,81
13,Mystic River,"$90,135,191 ",7.9,84
14,Seabiscuit,"$120,277,854 ",7.3,72
22,Crash,"$54,580,300 ",7.8,66
18,Ray,"$75,331,600 ",7.7,73
19,Sideways,"$71,503,593 ",7.5,94
16,Finding Neverland,"$51,680,613 ",7.7,67
15,The Aviator,"$102,610,330 ",7.5,77
17,Million Dollar Baby,"$100,492,203 ",8.1,86
20,Brokeback Mountain,"$83,043,761 ",7.7,87
21,Capote,"$28,750,530 ",7.4,88
23,"Good Night, and Good Luck.","$31,558,003 ",7.4,80
24,Munich,"$47,403,685 ",7.5,74
29,The Queen,"$56,441,711 ",7.3,91
28,Little Miss Sunshine,"$59,891,098 ",7.8,80
27,Letters from Iwo Jima,"$13,756,082 ",7.9,89
25,Babel,"$34,302,837 ",7.5,69
26,The Departed,"$132,399,394 ",8.5,85
30,Atonement,"$50,927,067 ",7.8,85
31,Juno,"$143,495,265 ",7.4,81
32,Michael Clayton,"$49,033,882 ",7.2,82
33,No Country for Old Men,"$74,283,625 ",8.2,92
34,There Will Be Blood,"$40,222,514 ",8.2,93
39,Slumdog Millionaire,"$141,319,928 ",8,84
44,The Hurt Locker,"$17,017,811 ",7.6,95
38,The Reader,"$34,194,407 ",7.6,58
36,Frost/Nixon,"$18,622,031 ",7.7,80
35,The Curious Case of Benjamin Button,"$127,509,326 ",7.8,70
37,Milk,"$31,841,299 ",7.6,83
40,Avatar,"$760,507,625 ",7.9,83
41,The Blind Side,"$255,982,860 ",7.6,53
42,District 9,"$115,646,235 ",7.9,81
43,An Education,"$12,574,914 ",7.3,85
45,Inglourious Basterds,"$120,540,719 ",8.3,69
47,A Serious Man,"$9,228,768 ",7,84
48,Up,"$293,004,164 ",8.2,88
49,Up in the Air,"$83,823,381 ",7.4,83
56,The Social Network,"$96,962,694 ",7.8,95
59,Winter's Bone,"$6,531,503 ",7.2,90
58,True Grit,"$171,243,005 ",7.6,80
57,Toy Story 3,"$415,004,880 ",8.3,92
55,127 Hours,"$18,335,230 ",7.6,82
54,The King's Speech,"$138,797,449 ",8,88
53,The Kids Are All Right,"$20,811,365 ",7.1,86
52,Inception,"$292,587,330 ",8.8,74
51,The Fighter,"$93,617,009 ",7.8,79
50,Black Swan,"$106,954,678 ",8,79
60,The Artist,"$44,671,682 ",7.9,89
61,The Descendants,"$82,584,160 ",7.3,84
62,Extremely Loud & Incredibly Close,"$31,847,881 ",6.9,46
63,The Help,"$169,708,112 ",8.1,62
64,Hugo,"$73,864,507 ",7.5,83
65,Midnight in Paris,"$56,817,045 ",7.7,81
66,Moneyball,"$75,605,492 ",7.6,87
67,The Tree of Life,"$13,303,319 ",6.8,85
